id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-12-23 08:17:02,"{""short_code"":""B2lv4h"",""original_url"":""https://hackstack.io/brisk/canyon/1""}"
2,2,322,created,2025-12-20 21:42:27,"{""short_code"":""XHNBZx"",""original_url"":""https://acme.dev/mellow/engine/2""}"
3,3,72,created,2025-03-03 23:11:08,"{""short_code"":""L4zDlO"",""original_url"":""https://acme.dev/keen/canyon/3""}"
4,4,226,created,2025-11-24 11:01:26,"{""short_code"":""wOwAil"",""original_url"":""https://seeded.app/tidy/journey/4""}"
5,5,391,created,2025-01-29 07:09:34,"{""short_code"":""WP3hcl"",""original_url"":""https://seeded.app/lively/kernel/5""}"
6,6,383,created,2025-08-23 03:34:21,"{""short_code"":""F49qVC"",""original_url"":""https://seeded.app/mellow/island/6""}"
7,7,258,created,2025-08-31 10:09:01,"{""short_code"":""CVKqeI"",""original_url"":""https://acme.dev/ember/island/7""}"
8,8,166,created,2025-06-14 23:09:59,"{""short_code"":""PQL5iU"",""original_url"":""https://relay.cloud/clear/harvest/8""}"
9,9,152,created,2025-05-18 17:21:19,"{""short_code"":""ond8sB"",""original_url"":""https://opswise.net/tidy/orbit/9""}"
10,10,1,created,2025-03-26 14:35:21,"{""short_code"":""JsO96F"",""original_url"":""https://opswise.net/lively/garden/10""}"
11,11,211,created,2025-08-02 13:09:57,"{""short_code"":""bHXpSU"",""original_url"":""https://opswise.net/mellow/orbit/11""}"
12,12,392,created,2025-05-11 22:19:41,"{""short_code"":""qWNePO"",""original_url"":""https://seeded.app/warm/field/12""}"
13,13,73,created,2025-09-29 06:36:09,"{""short_code"":""aUaqg3"",""original_url"":""https://acme.dev/forest/orbit/13""}"
14,14,31,created,2025-04-09 01:13:13,"{""short_code"":""7Qd7Qu"",""original_url"":""https://seeded.app/ivory/delta/14""}"
15,15,284,created,2025-12-27 10:36:43,"{""short_code"":""K1zcru"",""original_url"":""https://example.com/clear/river/15""}"
16,16,267,created,2025-11-07 19:18:39,"{""short_code"":""btSuJF"",""original_url"":""https://relay.cloud/ivory/delta/16""}"
17,17,278,created,2025-01-07 04:31:03,"{""short_code"":""lXS0qz"",""original_url"":""https://example.com/dawn/signal/17""}"
18,18,51,created,2025-05-26 05:17:39,"{""short_code"":""EP36y8"",""original_url"":""https://seeded.app/gold/beacon/18""}"
19,19,201,created,2025-07-24 19:59:45,"{""short_code"":""WBnv08"",""original_url"":""https://example.com/mellow/anchor/19""}"
20,20,370,created,2025-03-05 19:41:10,"{""short_code"":""tPODkt"",""original_url"":""https://acme.dev/opal/yard/20""}"
21,21,154,created,2025-07-22 05:00:45,"{""short_code"":""wdUkuc"",""original_url"":""https://example.com/dawn/signal/21""}"
22,22,312,created,2025-08-25 17:16:49,"{""short_code"":""4aKPQ0"",""original_url"":""https://seeded.app/keen/kernel/22""}"
23,23,43,created,2025-06-24 06:10:38,"{""short_code"":""fyFIqi"",""original_url"":""https://seeded.app/opal/yard/23""}"
24,24,100,created,2025-06-14 22:22:06,"{""short_code"":""peO3rY"",""original_url"":""https://example.com/keen/window/24""}"
25,25,147,created,2025-06-22 07:32:14,"{""short_code"":""b7Tg3H"",""original_url"":""https://opswise.net/brisk/yard/25""}"
26,26,221,created,2026-02-13 13:57:06,"{""short_code"":""vTKfrO"",""original_url"":""https://hackstack.io/proud/lagoon/26""}"
27,27,281,created,2025-06-23 04:14:26,"{""short_code"":""2hAjRj"",""original_url"":""https://seeded.app/tidy/island/27""}"
28,28,255,created,2025-11-20 00:36:55,"{""short_code"":""TIJGFD"",""original_url"":""https://example.com/gold/network/28""}"
29,29,137,created,2025-05-19 01:25:50,"{""short_code"":""Q6OJav"",""original_url"":""https://opswise.net/ivory/signal/29""}"
30,30,26,created,2025-09-24 14:16:20,"{""short_code"":""zr9N2W"",""original_url"":""https://opswise.net/navy/pioneer/30""}"
31,31,229,created,2025-06-01 13:49:11,"{""short_code"":""ZxHKxZ"",""original_url"":""https://hackstack.io/ember/journey/31""}"
32,32,29,created,2025-12-04 20:02:36,"{""short_code"":""HKmqLr"",""original_url"":""https://seeded.app/ember/field/32""}"
33,33,262,created,2025-06-24 20:33:03,"{""short_code"":""vRf5Uj"",""original_url"":""https://opswise.net/vivid/signal/33""}"
34,34,109,created,2026-01-07 13:34:04,"{""short_code"":""LnCG10"",""original_url"":""https://acme.dev/clear/signal/34""}"
35,35,326,created,2025-06-08 05:44:23,"{""short_code"":""98YtWd"",""original_url"":""https://opswise.net/calm/island/35""}"
36,36,337,created,2025-04-19 05:59:53,"{""short_code"":""rX59Kf"",""original_url"":""https://hackstack.io/dawn/zenith/36""}"
37,37,221,created,2025-05-15 19:03:24,"{""short_code"":""qQUjkd"",""original_url"":""https://acme.dev/proud/beacon/37""}"
38,38,107,created,2026-01-24 00:36:41,"{""short_code"":""lCKCcF"",""original_url"":""https://hackstack.io/proud/valley/38""}"
39,39,305,created,2025-07-17 13:44:22,"{""short_code"":""MucuQ4"",""original_url"":""https://hackstack.io/mellow/journey/39""}"
40,40,341,created,2025-06-10 00:39:20,"{""short_code"":""auf97f"",""original_url"":""https://hackstack.io/gold/meadow/40""}"
41,41,167,created,2025-12-10 01:48:35,"{""short_code"":""tEd2EX"",""original_url"":""https://hackstack.io/vivid/beacon/41""}"
42,42,27,created,2025-11-17 01:08:40,"{""short_code"":""l0SmNF"",""original_url"":""https://relay.cloud/keen/zenith/42""}"
43,43,104,created,2025-03-31 21:38:54,"{""short_code"":""rLp9SX"",""original_url"":""https://relay.cloud/gold/harvest/43""}"
44,44,254,created,2025-01-19 12:50:27,"{""short_code"":""mzwtlD"",""original_url"":""https://hackstack.io/keen/island/44""}"
